model,budget,status,error_message,predictions_path,result_path
claude-3-haiku,128,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_128/bigcodebench_predictions_budget_128.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_128/official_package_direct_results.jsonl
claude-3-haiku,256,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_256/bigcodebench_predictions_budget_256.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_256/official_package_direct_results.jsonl
claude-3-haiku,512,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_512/bigcodebench_predictions_budget_512.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_512/official_package_direct_results.jsonl
claude-3-haiku,1024,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_1024/bigcodebench_predictions_budget_1024.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_1024/official_package_direct_results.jsonl
claude-3-haiku,2048,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_2048/bigcodebench_predictions_budget_2048.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_2048/official_package_direct_results.jsonl
claude-3-haiku,4096,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_4096/bigcodebench_predictions_budget_4096.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/claude_3_haiku/budget_4096/official_package_direct_results.jsonl
DeepSeek-V3-0324,128,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_128/bigcodebench_predictions_budget_128.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_128/official_package_direct_results.jsonl
DeepSeek-V3-0324,256,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_256/bigcodebench_predictions_budget_256.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_256/official_package_direct_results.jsonl
DeepSeek-V3-0324,512,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_512/bigcodebench_predictions_budget_512.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_512/official_package_direct_results.jsonl
DeepSeek-V3-0324,1024,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_1024/bigcodebench_predictions_budget_1024.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_1024/official_package_direct_results.jsonl
DeepSeek-V3-0324,2048,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_2048/bigcodebench_predictions_budget_2048.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_2048/official_package_direct_results.jsonl
DeepSeek-V3-0324,4096,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_4096/bigcodebench_predictions_budget_4096.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/deepseek_v3_0324/budget_4096/official_package_direct_results.jsonl
gemini-2.0-flash-001,128,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_128/bigcodebench_predictions_budget_128.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_128/official_package_direct_results.jsonl
gemini-2.0-flash-001,256,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_256/bigcodebench_predictions_budget_256.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_256/official_package_direct_results.jsonl
gemini-2.0-flash-001,512,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_512/bigcodebench_predictions_budget_512.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_512/official_package_direct_results.jsonl
gemini-2.0-flash-001,1024,official_labels_completed,,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_1024/bigcodebench_predictions_budget_1024.jsonl,reports/artifacts_bigcodebench_official/paper_bigcodebench_hard/gemini_2_0_flash_001/budget_1024/official_package_direct_results.jsonl
