suite,model,policy,global_budget_fraction,target_total_budget,selected_total_budget,total_budget,verified_successes,oracle_successes,regret_to_oracle,budget_used,budget_slack_tokens,strict_budget_feasible
paper_bigcodebench_hard,DeepSeek-V3-0324,constant-by-budget prior,0.25,107520,86016,86016,7,14,7,53760,53760,1
paper_bigcodebench_hard,DeepSeek-V3-0324,constant-by-budget prior,0.50,215040,215040,215040,7,14,7,53760,161280,1
paper_bigcodebench_hard,DeepSeek-V3-0324,constant-by-budget prior,0.75,322560,301056,301056,7,14,7,53760,268800,1
paper_bigcodebench_hard,DeepSeek-V3-0324,oracle,0.25,107520,86016,86016,14,14,0,10112,97408,1
paper_bigcodebench_hard,DeepSeek-V3-0324,oracle,0.50,215040,215040,215040,14,14,0,10112,204928,1
paper_bigcodebench_hard,DeepSeek-V3-0324,oracle,0.75,322560,301056,301056,14,14,0,10112,312448,1
paper_bigcodebench_hard,DeepSeek-V3-0324,random task order,0.25,107520,86016,86016,5,14,9,86016,21504,1
paper_bigcodebench_hard,DeepSeek-V3-0324,random task order,0.50,215040,215040,215040,6,14,8,112768,102272,1
paper_bigcodebench_hard,DeepSeek-V3-0324,random task order,0.75,322560,301056,301056,6,14,8,112768,209792,1
paper_bigcodebench_hard,DeepSeek-V3-0324,recalibrated self-forecast,0.25,107520,86016,86016,5,14,9,86016,21504,1
paper_bigcodebench_hard,DeepSeek-V3-0324,recalibrated self-forecast,0.50,215040,215040,215040,7,14,7,138752,76288,1
paper_bigcodebench_hard,DeepSeek-V3-0324,recalibrated self-forecast,0.75,322560,301056,301056,7,14,7,138752,183808,1
paper_bigcodebench_hard,DeepSeek-V3-0324,raw self-forecast,0.25,107520,86016,86016,7,14,7,86016,21504,1
paper_bigcodebench_hard,DeepSeek-V3-0324,raw self-forecast,0.50,215040,215040,215040,7,14,7,215040,0,1
paper_bigcodebench_hard,DeepSeek-V3-0324,raw self-forecast,0.75,322560,301056,301056,7,14,7,301056,21504,1
paper_bigcodebench_hard,DeepSeek-V3-0324,source-by-budget prior,0.25,107520,86016,86016,7,14,7,53760,53760,1
paper_bigcodebench_hard,DeepSeek-V3-0324,source-by-budget prior,0.50,215040,215040,215040,7,14,7,53760,161280,1
paper_bigcodebench_hard,DeepSeek-V3-0324,source-by-budget prior,0.75,322560,301056,301056,7,14,7,53760,268800,1
paper_bigcodebench_hard,claude-3-haiku,constant-by-budget prior,0.25,107520,86016,86016,2,11,9,86016,21504,1
paper_bigcodebench_hard,claude-3-haiku,constant-by-budget prior,0.50,215040,215040,215040,4,11,7,215040,0,1
paper_bigcodebench_hard,claude-3-haiku,constant-by-budget prior,0.75,322560,301056,301056,7,11,4,301056,21504,1
paper_bigcodebench_hard,claude-3-haiku,oracle,0.25,107520,86016,86016,11,11,0,6272,101248,1
paper_bigcodebench_hard,claude-3-haiku,oracle,0.50,215040,215040,215040,11,11,0,6272,208768,1
paper_bigcodebench_hard,claude-3-haiku,oracle,0.75,322560,301056,301056,11,11,0,6272,316288,1
paper_bigcodebench_hard,claude-3-haiku,random task order,0.25,107520,86016,86016,6,11,5,86016,21504,1
paper_bigcodebench_hard,claude-3-haiku,random task order,0.50,215040,215040,215040,9,11,2,147584,67456,1
paper_bigcodebench_hard,claude-3-haiku,random task order,0.75,322560,301056,301056,9,11,2,147584,174976,1
paper_bigcodebench_hard,claude-3-haiku,recalibrated self-forecast,0.25,107520,86016,86016,4,11,7,86016,21504,1
paper_bigcodebench_hard,claude-3-haiku,recalibrated self-forecast,0.50,215040,215040,215040,10,11,1,207360,7680,1
paper_bigcodebench_hard,claude-3-haiku,recalibrated self-forecast,0.75,322560,301056,301056,10,11,1,207360,115200,1
paper_bigcodebench_hard,claude-3-haiku,raw self-forecast,0.25,107520,86016,86016,9,11,2,86016,21504,1
paper_bigcodebench_hard,claude-3-haiku,raw self-forecast,0.50,215040,215040,215040,10,11,1,215040,0,1
paper_bigcodebench_hard,claude-3-haiku,raw self-forecast,0.75,322560,301056,301056,9,11,2,301056,21504,1
paper_bigcodebench_hard,claude-3-haiku,source-by-budget prior,0.25,107520,86016,86016,2,11,9,86016,21504,1
paper_bigcodebench_hard,claude-3-haiku,source-by-budget prior,0.50,215040,215040,215040,4,11,7,215040,0,1
paper_bigcodebench_hard,claude-3-haiku,source-by-budget prior,0.75,322560,301056,301056,7,11,4,301056,21504,1
paper_bigcodebench_hard,gemini-2.0-flash-001,constant-by-budget prior,0.25,107520,86016,86016,0,0,0,13440,94080,1
paper_bigcodebench_hard,gemini-2.0-flash-001,constant-by-budget prior,0.50,215040,215040,215040,0,0,0,13440,201600,1
paper_bigcodebench_hard,gemini-2.0-flash-001,constant-by-budget prior,0.75,322560,301056,301056,0,0,0,13440,309120,1
paper_bigcodebench_hard,gemini-2.0-flash-001,oracle,0.25,107520,86016,86016,0,0,0,0,107520,1
paper_bigcodebench_hard,gemini-2.0-flash-001,oracle,0.50,215040,215040,215040,0,0,0,0,215040,1
paper_bigcodebench_hard,gemini-2.0-flash-001,oracle,0.75,322560,301056,301056,0,0,0,0,322560,1
paper_bigcodebench_hard,gemini-2.0-flash-001,random task order,0.25,107520,86016,86016,0,0,0,86016,21504,1
paper_bigcodebench_hard,gemini-2.0-flash-001,random task order,0.50,215040,215040,215040,0,0,0,125056,89984,1
paper_bigcodebench_hard,gemini-2.0-flash-001,random task order,0.75,322560,301056,301056,0,0,0,125056,197504,1
paper_bigcodebench_hard,gemini-2.0-flash-001,recalibrated self-forecast,0.25,107520,86016,86016,0,0,0,13440,94080,1
paper_bigcodebench_hard,gemini-2.0-flash-001,recalibrated self-forecast,0.50,215040,215040,215040,0,0,0,13440,201600,1
paper_bigcodebench_hard,gemini-2.0-flash-001,recalibrated self-forecast,0.75,322560,301056,301056,0,0,0,13440,309120,1
paper_bigcodebench_hard,gemini-2.0-flash-001,raw self-forecast,0.25,107520,86016,86016,0,0,0,86016,21504,1
paper_bigcodebench_hard,gemini-2.0-flash-001,raw self-forecast,0.50,215040,215040,215040,0,0,0,215040,0,1
paper_bigcodebench_hard,gemini-2.0-flash-001,raw self-forecast,0.75,322560,301056,301056,0,0,0,301056,21504,1
paper_bigcodebench_hard,gemini-2.0-flash-001,source-by-budget prior,0.25,107520,86016,86016,0,0,0,13440,94080,1
paper_bigcodebench_hard,gemini-2.0-flash-001,source-by-budget prior,0.50,215040,215040,215040,0,0,0,13440,201600,1
paper_bigcodebench_hard,gemini-2.0-flash-001,source-by-budget prior,0.75,322560,301056,301056,0,0,0,13440,309120,1
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,constant-by-budget prior,0.25,107520,86016,86016,0,0,0,13440,94080,1
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,constant-by-budget prior,0.50,215040,215040,215040,0,0,0,13440,201600,1
