suite,run_id,model,artifact_source,budgeted_outcomes,artifact_outcome_rows,row_count_matches_artifact,prompt_tokens,completion_tokens,mean_wall_time_seconds,estimated_cost_usd,pricing_config_version,cost_mode,reasoning_tokens_available,notes
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,artifacts,984,984,True,255258,92561,5.114756340323798,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,artifacts,984,984,True,227070,96928,4.054234284170282,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,artifacts,984,984,True,245100,196466,6.407039370687529,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_evalplus_humaneval_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,artifacts,984,984,True,246280,164264,5.274215805398611,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_evalplus_mbpp_full,claude_3_haiku,claude-3-haiku,artifacts,2268,2268,True,351461,165328,2.457275427759747,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_evalplus_mbpp_full,deepseek_v3_0324,DeepSeek-V3-0324,artifacts,2268,2268,True,309708,165196,8.40964000476574,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_evalplus_mbpp_full,gemini_2_0_flash_001,gemini-2.0-flash-001,artifacts,2268,2268,True,336281,312522,1.283452305499169,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_evalplus_mbpp_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,artifacts,2268,2268,True,335703,217667,1.1426524640616451,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_math_core,claude_3_haiku,claude-3-haiku,artifacts,5000,5000,True,879024,1192994,2.166772774016014,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_math_core,deepseek_v3_0324,DeepSeek-V3-0324,artifacts,5000,5000,True,783509,1683060,3.8117432205016257,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_math_core,gemini_2_0_flash_001,gemini-2.0-flash-001,artifacts,5000,5000,True,810040,1434278,1.797147006603009,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
paper_math_core,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,artifacts,5000,5000,True,809851,1418341,1.7139164026251392,,2026-04-28,active_artifact_estimate,False,Generated-token budgets are solver output caps; hidden reasoning tokens are reported only when providers expose them.
TOTAL,,,,33008,33008,True,5589285,7139605,,0,2026-04-28,sum_of_included_active_artifact_rows,False,Total over included main paper artifact rows; provider invoices may differ from token-based estimates.
