track,source,tasks,budget_grid,verifier,split,paper_role
coding,bigcodebench_hard,148,"128,256,512,1024,2048,4096",bigcodebench,paper_bigcodebench_hard,paper_extension
code_editing,canitedit,105,"128,256,512,1024,2048",canitedit,paper_canitedit_descriptive,paper_extension_or_appendix
coding,evalplus_humaneval,25,"64,128,256,512,1024,2048",evalplus,paper_dual_success_usage_forecast,token_usage_proxy
coding,evalplus_mbpp,25,"64,128,256,512,1024,2048",evalplus,paper_dual_success_usage_forecast,token_usage_proxy
math,gsm8k,50,"64,128,256,512,1024,2048",numeric_exact,paper_dual_success_usage_forecast,token_usage_proxy
math,hendrycks_math,50,"64,128,256,512,1024,2048",math_verify_optional,paper_dual_success_usage_forecast,token_usage_proxy
coding,evalplus_humaneval,75,"64,128,256,512,1024,2048",evalplus,paper_dual_success_usage_forecast_300,token_usage_proxy_expanded_300
coding,evalplus_mbpp,75,"64,128,256,512,1024,2048",evalplus,paper_dual_success_usage_forecast_300,token_usage_proxy_expanded_300
math,gsm8k,75,"64,128,256,512,1024,2048",numeric_exact,paper_dual_success_usage_forecast_300,token_usage_proxy_expanded_300
math,hendrycks_math,75,"64,128,256,512,1024,2048",math_verify_optional,paper_dual_success_usage_forecast_300,token_usage_proxy_expanded_300
coding,evalplus_humaneval,164,"64,128,256,512,1024,2048",evalplus,paper_evalplus_humaneval_full,paper
coding,evalplus_mbpp,378,"64,128,256,512,1024,2048",evalplus,paper_evalplus_mbpp_full,paper
coding,livecodebench,200,"64,128,256,512,1024,2048",livecodebench,paper_livecodebench_fresh_200,
coding,livecodebench,300,"64,128,256,512,1024,2048",livecodebench,paper_livecodebench_fresh_300,freshness_appendix
coding,livecodebench,50,"64,128,256,512,1024,2048",livecodebench,paper_livecodebench_fresh_small,configured_fresh_coding
math,gsm8k,500,"64,128,256,512,1024",numeric_exact,paper_math_core,paper
math,hendrycks_math,500,"128,256,512,1024,2048",math_verify_optional,paper_math_core,paper
coding,evalplus_humaneval,30,"128,512,2048",evalplus,paper_repeatability_small,repeatability_audit
coding,evalplus_mbpp,30,"128,512,2048",evalplus,paper_repeatability_small,repeatability_audit
math,gsm8k,40,"128,512,2048",numeric_exact,paper_repeatability_small,repeatability_audit
coding,bigcodebench_hard,148,"128,256,512,1024,2048,4096",bigcodebench,paper_bigcodebench_hard,paper_extension
code_editing,canitedit,105,"128,256,512,1024,2048",canitedit,paper_canitedit_descriptive,paper_extension_or_appendix
