model,source,budget,n,success_rate,truncated_rate,cap_hit_rate,length_finish_rate,retry_rate,mean_retry_count,prompt_tokens_coverage,prompt_tokens_median,prompt_tokens_p95,completion_tokens_coverage,completion_tokens_median,completion_tokens_p95,total_tokens_coverage,total_tokens_median,total_tokens_p95,total_visible_tokens_coverage,total_visible_tokens_median,total_visible_tokens_p95,reasoning_tokens_coverage,reasoning_tokens_median,reasoning_tokens_p95,retry_count_coverage,retry_count_median,retry_count_p95,wall_time_seconds_coverage,wall_time_seconds_median,wall_time_seconds_p95,generation_wall_time_seconds_coverage,generation_wall_time_seconds_median,generation_wall_time_seconds_p95,verification_wall_time_seconds_coverage,verification_wall_time_seconds_median,verification_wall_time_seconds_p95,end_to_end_wall_time_seconds_coverage,end_to_end_wall_time_seconds_median,end_to_end_wall_time_seconds_p95,generation_wall_time_s_coverage,generation_wall_time_s_median,generation_wall_time_s_p95,verification_wall_time_s_coverage,verification_wall_time_s_median,verification_wall_time_s_p95,end_to_end_wall_time_s_coverage,end_to_end_wall_time_s_median,end_to_end_wall_time_s_p95,tokens_per_second_median,tokens_per_second_p95
DeepSeek-V3-0324,evalplus_humaneval,128,180,0.9,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.0,0.0,0.9944444444444445,127.0,203.0,0.9944444444444445,71.0,128.0,0.9944444444444445,210.0,306.0,0.9944444444444445,210.0,306.0,0.0,,,1.0,0.0,0.0,0.9944444444444445,6.835202746093273,55.29235336631532,0.9944444444444445,2.679903671145439,4.592609632760286,0.9944444444444445,3.5592601597309113,53.63054697141046,0.9944444444444445,6.835202746093273,55.29235336631532,0.9944444444444445,2.679903671145439,4.592609632760286,0.9944444444444445,3.5592601597309113,53.63054697141046,0.9944444444444445,6.835202746093273,55.29235336631532,27.123535362335407,61.53191279035614
DeepSeek-V3-0324,evalplus_humaneval,2048,180,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.9944444444444445,128.0,203.0,0.9944444444444445,69.0,163.0,0.9944444444444445,206.0,326.0,0.9944444444444445,206.0,326.0,0.0,,,1.0,0.0,0.0,0.9944444444444445,6.654810115695,45.87424504086374,0.9944444444444445,2.770343117415905,4.603302881121635,0.9944444444444445,3.435161605477333,43.431646994501335,0.9944444444444445,6.654810115695,45.87424504086374,0.9944444444444445,2.770343117415905,4.603302881121635,0.9944444444444445,3.435161605477333,43.431646994501335,0.9944444444444445,6.654810115695,45.87424504086374,26.435145814125903,65.05279360609701
DeepSeek-V3-0324,evalplus_humaneval,512,180,0.9944444444444445,0.0,0.0,0.0,0.0,0.0,1.0,127.5,203.0,1.0,67.0,163.0,1.0,206.0,326.0,1.0,206.0,326.0,0.0,,,1.0,0.0,0.0,1.0,6.809051465243101,47.71708544157444,1.0,2.862866844981909,4.934214873239398,1.0,3.470047317445278,45.99189601354299,1.0,6.809051465243101,47.71708544157444,1.0,2.862866844981909,4.934214873239398,1.0,3.470047317445278,45.99189601354299,1.0,6.809051465243101,47.71708544157444,25.337071409951456,61.46892975256089
DeepSeek-V3-0324,evalplus_mbpp,128,180,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,77.0,117.0,1.0,37.0,108.0,1.0,129.0,190.0,1.0,129.0,190.0,0.0,,,1.0,0.0,0.0,1.0,10.324542175978422,208.8726634349673,1.0,3.3549861945211887,7.54439786933362,1.0,5.870585285127163,207.86420646496114,1.0,10.324542175978422,208.8726634349673,1.0,3.3549861945211887,7.54439786933362,1.0,5.870585285127163,207.86420646496114,1.0,10.324542175978422,208.8726634349673,13.955909286758096,38.4743053180763
DeepSeek-V3-0324,evalplus_mbpp,2048,180,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9888888888888889,77.0,117.0,0.9888888888888889,40.0,108.0,0.9888888888888889,129.0,190.0,0.9888888888888889,129.0,190.0,0.0,,,1.0,0.0,0.0,0.9888888888888889,10.276717651635408,234.8002712905407,0.9888888888888889,3.4131470322608948,7.793295833095909,0.9888888888888889,5.584678985178471,231.72447277903558,0.9888888888888889,10.276717651635408,234.8002712905407,0.9888888888888889,3.4131470322608948,7.793295833095909,0.9888888888888889,5.584678985178471,231.72447277903558,0.9888888888888889,10.276717651635408,234.8002712905407,11.8904470647558,34.69843643783258
DeepSeek-V3-0324,evalplus_mbpp,512,180,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.9888888888888889,77.0,117.0,0.9888888888888889,37.5,108.0,0.9888888888888889,129.0,190.0,0.9888888888888889,129.0,190.0,0.0,,,1.0,0.0,0.0,0.9888888888888889,9.921428199857473,215.03395683392887,0.9888888888888889,3.5854277536273003,6.635877889022235,0.9888888888888889,5.6172237023711205,214.08416677862408,0.9888888888888889,9.921428199857473,215.03395683392887,0.9888888888888889,3.5854277536273003,6.635877889022235,0.9888888888888889,5.6172237023711205,214.08416677862408,0.9888888888888889,9.921428199857473,215.03395683392887,12.468620676225543,34.013450108436956
DeepSeek-V3-0324,gsm8k,128,240,0.10416666666666667,0.9875,0.9875,0.9875,0.0,0.0,0.9958333333333333,86.0,123.09999999999994,0.9958333333333333,128.0,128.0,0.9958333333333333,214.0,251.09999999999994,0.9958333333333333,214.0,251.09999999999994,0.0,,,1.0,0.0,0.0,0.9958333333333333,2.342243477702141,3.1820869319140903,0.9958333333333333,2.342032454907894,3.181902637332677,0.9958333333333333,0.00022235512733459473,0.00037514641880989066,0.9958333333333333,2.342243477702141,3.1820869319140903,0.9958333333333333,2.342032454907894,3.181902637332677,0.9958333333333333,0.00022235512733459473,0.00037514641880989066,0.9958333333333333,2.342243477702141,3.1820869319140903,54.65338438490337,85.93873873198608
DeepSeek-V3-0324,gsm8k,2048,240,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.9875,86.0,124.19999999999987,0.9875,235.0,428.5999999999999,0.9875,313.0,520.5999999999999,0.9875,313.0,520.5999999999999,0.0,,,1.0,0.0,0.0,0.9875,3.706748031079769,6.656878320872783,0.9875,3.7066210359334946,6.6566935434937475,0.9875,0.0001776963472366333,0.0003425776958465576,0.9875,3.706748031079769,6.656878320872783,0.9875,3.7066210359334946,6.6566935434937475,0.9875,0.0001776963472366333,0.0003425776958465576,0.9875,3.706748031079769,6.656878320872783,65.02995081904699,99.62988021790665
DeepSeek-V3-0324,gsm8k,512,240,0.9625,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,1.0,86.5,122.54999999999981,1.0,235.0,426.19999999999993,1.0,314.5,522.1999999999999,1.0,314.5,522.1999999999999,0.0,,,1.0,0.0,0.0,1.0,3.7733174972236156,6.383993871882557,1.0,3.773108098655939,6.383618357405065,1.0,0.00018259510397911072,0.00029179155826568586,1.0,3.7733174972236156,6.383993871882557,1.0,3.773108098655939,6.383618357405065,1.0,0.00018259510397911072,0.00029179155826568586,1.0,3.7733174972236156,6.383993871882557,64.22263180376875,99.62976664099556
gemini-2.0-flash-lite-001,evalplus_humaneval,128,180,0.3611111111111111,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.0,0.0,0.9888888888888889,136.0,209.0,0.9888888888888889,128.0,128.0,0.9888888888888889,259.0,337.0,0.9888888888888889,259.0,337.0,0.0,,,1.0,0.0,0.0,0.9888888888888889,5.773006118834019,50.95561583898962,0.9888888888888889,2.298254430294037,3.8367767307907346,0.9888888888888889,2.926348514854908,49.903317102044824,0.9888888888888889,5.773006118834019,50.95561583898962,0.9888888888888889,2.298254430294037,3.8367767307907346,0.9888888888888889,2.926348514854908,49.903317102044824,0.9888888888888889,5.773006118834019,50.95561583898962,49.202410253674685,122.41685802574713
