suite,run_id,model,task_id,forecast_prompt_hash_present,solver_prompt_length_chars,forecast_probability_strings_in_solver,rationale_in_solver,status
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/100,True,605,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/111,True,629,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/12,True,507,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/68,True,1297,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/132,True,602,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/126,True,706,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/106,True,530,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/78,True,1057,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/124,True,981,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/94,True,737,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/153,True,1183,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/58,True,363,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/135,True,491,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/36,True,357,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/74,True,743,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/155,True,354,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/24,True,301,False,False,PASS
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,evalplus_HumanEval/66,True,493,False,False,PASS
