suite,run_id,model,forecast_calls,solver_calls,prompt_tokens,completion_tokens,estimated_usage_cost_usd
paper_dual_success_usage_forecast,deepseek_v3_0324,DeepSeek-V3-0324,150,0,52440,19041,0.157508
paper_dual_success_usage_forecast,gemini_2_0_flash_001,gemini-2.0-flash-001,150,0,59634,23626,0.015414
paper_dual_success_usage_forecast,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,150,0,59634,23654,0.011569
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt__forecast_repeat_1__solver_repeat_1,DeepSeek-V3-0324,150,0,42690,19324,0.141528
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt__forecast_repeat_2__solver_repeat_1,DeepSeek-V3-0324,150,0,42690,19324,0.141528
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt__forecast_repeat_3__solver_repeat_1,DeepSeek-V3-0324,150,0,42690,19324,0.141528
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt_detailed__forecast_repeat_1__solver_repeat_1,DeepSeek-V3-0324,150,0,48690,19353,0.152069
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt_detailed__forecast_repeat_2__solver_repeat_1,DeepSeek-V3-0324,150,0,48690,19353,0.152069
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt_detailed__forecast_repeat_3__solver_repeat_1,DeepSeek-V3-0324,150,0,48690,19353,0.152069
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt_terse__forecast_repeat_1__solver_repeat_1,DeepSeek-V3-0324,150,0,33390,19429,0.125712
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt_terse__forecast_repeat_2__solver_repeat_1,DeepSeek-V3-0324,150,0,33390,19429,0.125712
paper_forecast_stability,deepseek_v3_0324__prompt_forecast_prompt_terse__forecast_repeat_3__solver_repeat_1,DeepSeek-V3-0324,150,0,33390,19429,0.125712
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt__forecast_repeat_1__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,46884,24810,0.010959
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt__forecast_repeat_2__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,46884,24810,0.010959
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt__forecast_repeat_3__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,46884,24810,0.010959
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt_detailed__forecast_repeat_1__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,53034,24387,0.011294
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt_detailed__forecast_repeat_2__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,53034,24387,0.011294
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt_detailed__forecast_repeat_3__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,53034,24387,0.011294
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt_terse__forecast_repeat_1__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,37134,24466,0.010125
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt_terse__forecast_repeat_2__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,37134,24466,0.010125
paper_forecast_stability,gemini_2_0_flash_lite_001__prompt_forecast_prompt_terse__forecast_repeat_3__solver_repeat_1,gemini-2.0-flash-lite-001,150,0,37134,24466,0.010125
paper_livecodebench_fresh_200,claude_3_haiku,claude-3-haiku,200,1200,865061,203238,0.470313
paper_livecodebench_fresh_200,deepseek_v3_0324,DeepSeek-V3-0324,200,1200,788956,270967,2.315749
paper_livecodebench_fresh_200,gemini_2_0_flash_001,gemini-2.0-flash-001,200,1200,872050,272934,0.196379
paper_livecodebench_fresh_200,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,200,1200,872050,248784,0.140039
paper_agentic_swe_bridge,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,5,10,20180,4632,0.002903
